Australian Bureau of Statistics,,,,,,,,,,,,
,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
Port Kembla Industrial,0,0,0,0,0,4,0,0,0,4,0,6
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,3
Newcastle Port - Kooragang,0,0,0,0,3,3,0,0,0,0,5,17
Prospect Reservoir,0,0,0,0,7,3,0,0,0,0,0,15
Banksmeadow,0,0,0,0,10,4,0,4,0,0,0,16
Port Botany Industrial,0,0,0,0,0,3,0,0,0,0,0,11
Sydney Airport,0,0,0,0,4,7,0,0,0,0,0,22
Smithfield Industrial,0,0,0,0,6,0,0,0,0,0,0,9
Yennora Industrial,0,0,0,0,0,3,0,0,0,0,0,15
Badgerys Creek,0,0,0,3,8,10,0,9,0,7,4,44
Wilsons Promontory,0,0,0,0,4,0,0,0,0,0,3,11
Alps - West,0,0,0,0,3,11,0,6,0,0,0,20
West Melbourne,0,0,0,0,0,0,0,0,0,0,0,6
Port Melbourne Industrial,0,0,0,0,3,4,0,0,0,0,7,10
Brisbane Port - Lytton,0,0,0,0,0,5,0,0,0,0,5,4
Shoalwater Bay,0,0,0,0,8,7,0,3,0,0,0,14
Callemondah,0,0,0,0,3,10,0,3,0,0,0,22
Carole Park,0,0,0,0,0,0,0,0,0,0,0,3
Eungella Hinterland,0,0,0,0,5,3,0,4,0,0,4,18
North Burnett,0,0,0,0,0,5,0,0,0,0,0,8
